Facility ID,Facility Type,License Number,Licensed Facility Name,Address,Address 2,City,State,Zip Code,County,Telephone,Fax,Email,License Expiration Date,Licensed Owner,Owner Address,Owner City/State/Zip,Owner Description,Administrator,Title,Hospital Bed Total,Georeference
NJ23182,AMBULATORY SURGICAL CENTER,23182,AP SURGERY CENTER,1692 OAK TREE ROAD,,EDISON,NJ,08820,MIDDLESEX,(732) 906-6608,(732) 906-7801,apsurgery1692@yahoo.com,03/31/2022,AP SURGERY CENTER,1692 OAKTREE ROAD,"EDISON, NJ  08820",,Mr. MUMTAZ BODLA,,,POINT (-74.34516700699999 40.573187000000075)
311885,FEDERALLY QUALIFIED HEALTH CENTERS,24164,"COMMUNITY HEALTH CARE, INC",133 POLK LANE,,BRIDGETON,NJ,08302,CUMBERLAND,(856) 455-7575,,,,,,",",,,,,POINT (-75.21648503599995 39.52276798400004)
NJ24842,END STAGE RENAL DIALYSIS,24842,DIALYZE DIRECT NJ,3297 STATE ROUTE 66,,NEPTUNE,NJ,07753,MONMOUTH,(732) 806-9990,(732) 806-9995,alice@dialyzedirect.com,03/31/2022,DIALYZE DIRECT NJ L.L.C.,3297 STATE ROUTE 66,"NEPTUNE, NJ  07753",Profit - LLC,. ALICE HELLEBRAND,,,POINT (-74.06577596199998 40.229655998000055)
NJ22843,AMBULATORY CARE FACILITY,22843,EMERGIMED,663 PALISADE AVENUE,,CLIFFSIDE PARK,NJ,07010,BERGEN,(201) 945-6500,(201) 945-1157,phillipmeneses@aol.com,05/31/2021,EMERGIMED,663 PALISADE AVENUE,"CLIFFSIDE PARK, NJ  07010",Profit - Partnership,Dr. BEN CHOUAKE,,,POINT (-73.98354102599995 40.82504299000004)
NJ25061,END STAGE RENAL DIALYSIS,25061,FRESENIUS KIDNEY CARE MARLTON,957 ROUTE 73S,,MARLTON,NJ,08053,BURLINGTON,(856) 988-1060,(856) 988-6304,clinic100054@fmc-na.com,01/31/2022,"FRESENIUS MEDICAL CARE MARLTON, LLC",920 WINTER STREET,"WALTHAM, MA  02451",,Ms. MAUREEN KENNEDY-MCDONNELL,,,POINT (-74.92193721099994 39.864118421000065)
NJ317020,HOME HEALTH AGENCY,22301,HOLY REDEEMER HOME CARE,354 UNION AVENUE,,ELIZABETH,NJ,07208,UNION,(908) 352-5694,(908) 659-4470,mcastano@holyredeemer.com,08/31/2021,"VISITING NURSE AND HEALTH SERVICES, INC",354 UNION AVENUE,"ELIZABETH, NJ  07208",,Ms. MONICA CASTANO,,,POINT (-74.21793399099994 40.67070998300005)
NJ25041,HOSPICE CARE PROGRAM,25041,"HOSPICE AGENCY OF NJ, INC.","175 MARKET STREET, SUITE 202",,PATERSON,NJ,07505,PASSAIC,(973) 977-2223,(973) 977-2239,sfalikman@gmail.com,04/30/2021,"HOSPICE AGENCY OF NJ, INC.","175 MARKET STREET, SUITE 202","PATERSON, NJ  07505",,Ms. SVETLANA FALIKMAN,,,POINT (-74.17103799699998 40.91659600400004)
NJ23000,AMBULATORY CARE FACILITY,23000,IRVINGTON MEDICAL IMAGING CENTER,277-285 COIT STREET,,IRVINGTON,NJ,07111,ESSEX,(973) 351-1277,(973) 373-0510,dadeoti@msn.com,02/28/2021,"NEWARK IMAGING CENTER, INC.",277-285 COIT,"NEWARK, NJ  07102",,Dr. ADEKUNLE ADEOTI,,,POINT (-74.22837901599996 40.71563799000007)
NJ22761,HOSPICE CARE PROGRAM,22761,SALEM HOSPICE CARE,"310 SALEM WOODSTOWN ROAD, 2ND FLOOR 2 EAST",,SALEM,NJ,08079,SALEM,(856) 678-8500,(856) 678-5180,,05/31/2021,SALEM HOME HEALTH LLC,"2 BROAD STREET, SUITE 400","BLOOMFIELD, NJ  07003",,Dr. TAMMY TORRES,,,POINT (-75.44548405999996 39.59380670400003)
NJ24076,AMBULATORY CARE FACILITY,24076,SLEEP DYNAMICS,"2240 HIGHWAY 33, SUITE 114",,NEPTUNE CITY,NJ,07753,MONMOUTH,(732) 455-3030,(732) 960-6611,breslovb@bmkventures.net,11/30/2021,"SLEEP DYNAMICS, LLC","2240 STATE ROUTE 33, SUITE 114","NEPTUNE CITY, NJ  07753",,Mr. BRYAN BRESLOV,,,POINT (-74.04856705199995 40.20633831500004)
